timestamp	company	status
2026-07-21T14:46:30.594Z	Intercom	reachable
2026-07-21T14:46:30.594Z	Figma	reachable
2026-07-21T14:46:30.594Z	Linear	reachable
2026-07-21T14:46:30.594Z	Notion	reachable
2026-07-21T14:46:30.594Z	Loom	empty
2026-07-21T14:46:30.594Z	Zapier	reachable
2026-07-21T14:46:30.594Z	Airtable	reachable
2026-07-21T14:46:30.594Z	Temporal	reachable
2026-07-21T14:46:30.594Z	Glean	reachable
2026-07-21T14:46:30.594Z	Hightouch	reachable
2026-07-21T14:46:30.594Z	1Password	reachable
2026-07-21T14:46:30.594Z	Tailscale	reachable
2026-07-21T14:46:30.594Z	D2L	reachable
2026-07-21T14:46:30.594Z	PointClickCare	reachable
2026-07-21T14:46:30.594Z	ApplyBoard	reachable
2026-07-21T14:46:30.594Z	Miovision	reachable
2026-07-21T14:46:30.594Z	GitLab	reachable
2026-07-21T14:46:30.594Z	PagerDuty	network
2026-07-21T14:46:30.594Z	Grafana Labs	reachable
2026-07-21T14:46:30.594Z	Sourcegraph	reachable
2026-07-21T14:46:30.594Z	Stripe	reachable
2026-07-21T14:46:30.594Z	Cloudflare	reachable
2026-07-21T14:46:30.594Z	MongoDB	reachable
2026-07-21T14:46:30.594Z	Datadog	reachable
2026-07-21T14:46:30.594Z	Brex	reachable
2026-07-21T14:46:30.594Z	Plaid	reachable
2026-07-21T14:46:30.594Z	Miro	reachable
2026-07-21T14:46:30.594Z	Postman	reachable
2026-07-21T14:46:30.594Z	Gusto	reachable
2026-07-21T14:46:30.594Z	Elastic	reachable
2026-07-21T14:46:30.594Z	Calendly	reachable
2026-07-21T14:46:30.594Z	Descript	reachable
2026-07-21T17:38:15.163Z	CrowdStrike	reachable
2026-07-21T17:38:15.163Z	Wiz	empty
2026-07-21T17:38:15.163Z	Snyk	empty
2026-07-21T17:38:15.163Z	Tenable	reachable
2026-07-21T17:38:15.163Z	CoreWeave	reachable
2026-07-21T17:38:15.163Z	Veeva Systems	reachable
2026-07-21T17:38:15.163Z	League	reachable
2026-07-21T17:38:15.163Z	Maple	reachable
2026-07-21T17:38:15.163Z	Hims & Hers	reachable
2026-07-21T17:38:15.163Z	Deel	empty
2026-07-21T17:38:15.163Z	Lattice	reachable
2026-07-21T17:38:15.163Z	Leapsome	reachable
2026-07-21T17:38:15.163Z	Workday	reachable
2026-07-21T17:38:15.163Z	Hootsuite	reachable
2026-07-21T17:38:15.163Z	Clio	reachable
2026-07-21T17:38:15.163Z	Benevity	reachable
2026-07-21T17:38:15.163Z	Nuvei	empty
2026-07-21T17:38:15.163Z	Ada	reachable
2026-07-21T17:38:15.163Z	Cohere	reachable
2026-07-21T17:38:15.163Z	Later	reachable
2026-07-21T17:38:15.163Z	Faire	reachable
2026-07-21T17:38:15.163Z	Wealthsimple	empty
2026-07-21T17:38:15.163Z	TouchBistro	reachable
2026-07-21T17:38:15.163Z	Anthropic	reachable
2026-07-21T17:38:15.163Z	Vercel	reachable
2026-07-21T17:38:15.163Z	Intercom	reachable
2026-07-21T17:38:15.163Z	Figma	reachable
2026-07-21T17:38:15.163Z	Linear	reachable
2026-07-21T17:38:15.163Z	Notion	reachable
2026-07-21T17:38:15.163Z	Loom	empty
2026-07-21T17:38:15.163Z	Zapier	reachable
2026-07-21T17:38:15.163Z	Airtable	reachable
2026-07-21T17:38:15.163Z	Temporal	reachable
2026-07-21T17:38:15.163Z	Glean	reachable
2026-07-21T17:38:15.163Z	Hightouch	reachable
2026-07-21T17:38:15.163Z	1Password	reachable
2026-07-21T17:38:15.163Z	Tailscale	reachable
2026-07-21T17:38:15.163Z	D2L	reachable
2026-07-21T17:38:15.163Z	PointClickCare	reachable
2026-07-21T17:38:15.163Z	ApplyBoard	reachable
2026-07-21T17:38:15.163Z	Miovision	reachable
2026-07-21T17:38:15.163Z	GitLab	reachable
2026-07-21T17:38:15.163Z	PagerDuty	reachable
2026-07-21T17:38:15.163Z	Grafana Labs	reachable
2026-07-21T17:38:15.163Z	Sourcegraph	reachable
2026-07-21T17:38:15.163Z	Stripe	reachable
2026-07-21T17:38:15.163Z	Cloudflare	reachable
2026-07-21T17:38:15.163Z	MongoDB	reachable
2026-07-21T17:38:15.163Z	Datadog	reachable
2026-07-21T17:38:15.163Z	Brex	reachable
2026-07-21T17:38:15.163Z	Plaid	reachable
2026-07-21T17:38:15.163Z	Miro	reachable
2026-07-21T17:38:15.163Z	Postman	reachable
2026-07-21T17:38:15.163Z	Gusto	reachable
2026-07-21T17:38:15.163Z	Elastic	reachable
2026-07-21T17:38:15.163Z	Calendly	reachable
2026-07-21T17:38:15.163Z	Descript	reachable
2026-07-22T14:36:11.130Z	CrowdStrike	reachable
2026-07-22T14:36:11.130Z	Wiz	empty
2026-07-22T14:36:11.130Z	Snyk	empty
2026-07-22T14:36:11.130Z	Tenable	reachable
2026-07-22T14:36:11.130Z	CoreWeave	reachable
2026-07-22T14:36:11.130Z	Veeva Systems	reachable
2026-07-22T14:36:11.130Z	League	reachable
2026-07-22T14:36:11.130Z	Maple	reachable
2026-07-22T14:36:11.130Z	Hims & Hers	reachable
2026-07-22T14:36:11.130Z	Deel	empty
2026-07-22T14:36:11.130Z	Lattice	reachable
2026-07-22T14:36:11.130Z	Leapsome	reachable
2026-07-22T14:36:11.130Z	Workday	reachable
2026-07-22T14:36:11.130Z	Hootsuite	reachable
2026-07-22T14:36:11.130Z	Clio	reachable
2026-07-22T14:36:11.130Z	Benevity	reachable
2026-07-22T14:36:11.130Z	Nuvei	empty
2026-07-22T14:36:11.130Z	Ada	reachable
2026-07-22T14:36:11.130Z	Cohere	reachable
2026-07-22T14:36:11.130Z	Later	reachable
2026-07-22T14:36:11.130Z	Faire	reachable
2026-07-22T14:36:11.130Z	Wealthsimple	empty
2026-07-22T14:36:11.130Z	TouchBistro	reachable
2026-07-22T14:36:11.130Z	Anthropic	reachable
2026-07-22T14:36:11.130Z	Vercel	reachable
2026-07-22T14:36:11.130Z	Intercom	reachable
2026-07-22T14:36:11.130Z	Figma	reachable
2026-07-22T14:36:11.130Z	Linear	reachable
2026-07-22T14:36:11.130Z	Notion	reachable
2026-07-22T14:36:11.130Z	Loom	empty
2026-07-22T14:36:11.130Z	Zapier	reachable
2026-07-22T14:36:11.130Z	Airtable	reachable
2026-07-22T14:36:11.130Z	Temporal	reachable
2026-07-22T14:36:11.130Z	Glean	reachable
2026-07-22T14:36:11.130Z	Hightouch	reachable
2026-07-22T14:36:11.130Z	1Password	reachable
2026-07-22T14:36:11.130Z	Tailscale	reachable
2026-07-22T14:36:11.130Z	D2L	reachable
2026-07-22T14:36:11.130Z	PointClickCare	reachable
2026-07-22T14:36:11.130Z	ApplyBoard	reachable
2026-07-22T14:36:11.130Z	Miovision	reachable
2026-07-22T14:36:11.130Z	GitLab	reachable
2026-07-22T14:36:11.130Z	PagerDuty	reachable
2026-07-22T14:36:11.130Z	Grafana Labs	reachable
2026-07-22T14:36:11.130Z	Sourcegraph	reachable
2026-07-22T14:36:11.130Z	Stripe	reachable
2026-07-22T14:36:11.130Z	Cloudflare	reachable
2026-07-22T14:36:11.130Z	MongoDB	reachable
2026-07-22T14:36:11.130Z	Datadog	reachable
2026-07-22T14:36:11.130Z	Brex	reachable
2026-07-22T14:36:11.130Z	Plaid	reachable
2026-07-22T14:36:11.130Z	Miro	reachable
2026-07-22T14:36:11.130Z	Postman	reachable
2026-07-22T14:36:11.130Z	Gusto	reachable
2026-07-22T14:36:11.130Z	Elastic	reachable
2026-07-22T14:36:11.130Z	Calendly	reachable
2026-07-22T14:36:11.130Z	Descript	reachable
2026-07-23T21:23:34.522Z	CrowdStrike	reachable
2026-07-23T21:23:34.522Z	Wiz	empty
2026-07-23T21:23:34.522Z	Snyk	empty
2026-07-23T21:23:34.522Z	Tenable	reachable
2026-07-23T21:23:34.522Z	CoreWeave	reachable
2026-07-23T21:23:34.522Z	Veeva Systems	reachable
2026-07-23T21:23:34.522Z	League	reachable
2026-07-23T21:23:34.522Z	Maple	reachable
2026-07-23T21:23:34.522Z	Hims & Hers	reachable
2026-07-23T21:23:34.522Z	Deel	empty
